keywords (sub-indicators),Social Determinant Category,Primary Determinant Analyzed,Secondary Determinant Analyzed 1,Secondary Determinant Analyzed 2,Secondary Determinant Analyzed 3,Title,Year Published,Source,Primary Author,Number of Authors,Associated Research Institution,Author Total Works Count,Research Type,Topic ,Subfield,Field,Domain,Aligned SDG ,Research Locations,Cites,Cited By,Research Method,Research Method Population Scale ,Harm Magnitude,Harm Population Impact ,ID,Cluster
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Exposure to Violence / Trauma,Medical Bills,Provider & Pharmacy Availability,,It's Hard Out Here for a Black Man!,2007,The black scholar/The Black scholar,Herb Boyd,1,City College of New York,45,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1080/00064246.2007.11413403,,23,Content Analysis ,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,220,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Exposure to Violence / Trauma,Income,Health Coverage,,Debunking the Myth That All is Well in the Home of Brown v. Topeka Board of Education,2006,Journal of black studies,"Michael L. Birzer, ",2,Wichita State University,39,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions, Reduced inequalities",https://doi.org/10.1177/0021934705278410,51,11,Survey ,Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,225,Cluster_4
,"Community, Safety & Social Context",Exposure to Violence / Trauma,Parks,Food Security,,Debunking the Myth That All is Well in the Home of Brown v. Topeka Board of Education,2006,Journal of black studies,Michael L. Birzer,2,University of Wisconsin–Madison,40,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1177/0021934705278410,51,11,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,228,Cluster_4
,"Community, Safety & Social Context",Exposure to Violence / Trauma,Employment,Economic Stability ,,On the Interdependence of Liberal and Illiberal/Authoritarian Legal Forms in Racial Capitalist Regimes…The Case of the United States,2021,Annual review of law and social science,Michael W. McCann,2,University of Washington,86,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1146/annurev-lawsocsci-111720-012237,112,10,Content Analysis ,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,229,Cluster_4
,"Community, Safety & Social Context",Exposure to Violence / Trauma,Playgrounds,Vocational Training,,"(Color) Blind Faith: The Tragedy of ""Race, Crime, and the Law""",1998,Harvard law review,Paul Butler,2,Apple (Germany),70,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.2307/1342162,,3,Controlled Expirement,Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,232,Cluster_4
,"Community, Safety & Social Context",Exposure to Violence / Trauma,Expenses,Education,,The Underutilization of Health Services in the Black Community,2008,Journal of black studies,Daphne R. Chandler,1,University of Wisconsin–Madison,6,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1177/0021934708320723,28,43,Controlled Expirement,Medium,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,234,Cluster_4
,"Community, Safety & Social Context",Exposure to Violence / Trauma,Debt,Economic Stability ,,"Teaching Obama: history, critical race theory and social work education",2011,Patterns of prejudice,Damon Freeman,1,California University of Pennsylvania,12,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1080/0031322x.2011.563161,,14,Focus Group,Small ,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,246,Cluster_4
,"Community, Safety & Social Context",Exposure to Violence / Trauma,Transportation,Health Coverage,,"“All America Is a Prison”: The Nation of Islam and the Politicization of African American Prisoners, 1955–1965",2013,Journal of American studies,Zoe A. Colley,1,University of Dundee,17,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1017/s0021875813001308,43,9,Controlled Expirement,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,250,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Policing / Justice Policy,Income,Economic Stability ,,"Introduction—Gendering the Carceral State: African American Women, History, and the Criminal Justice System",2015,The Journal of African American history/The journal of African American history,Kali Nicole Gross,2,Wesleyan University,33,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.5323/jafriamerhist.100.3.0357,15,3,Survey ,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,201,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Policing / Justice Policy,Playgrounds,Language,,"Resisting “Law and Order” in California: Howard Moore Jr., Angela Davis, and the Politics of Prison Radicalism",2019,The Journal of African American history/The journal of African American history,Michael Camp,1,Knoxville College,24,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1086/701107,3,1,Secondary Data Analysis ,Medium,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,209,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Policing / Justice Policy,Employment,Early Childhood,,Human Rights and Racial Inequality Shifts in Contemporary United States,2023,Lecture notes in education psychology and public media,Chi-Jung Liang,1,Second Affiliated Hospital & Yuying Children's Hospital of Wenzhou Medical University,86,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,No poverty,https://doi.org/10.54254/2753-7048/6/20220964,,,Case Study,Large,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,212,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Policing / Justice Policy,Expenses,Language,,Crimes without Punishment: White Neighbors' Resistance to Black Entry,2001,Journal of criminal law & criminology,Leonard S. Rubinowitz,3,Northwestern University,35,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.2307/1144214,,20,Secondary Data Analysis ,Large,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,216,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Policing / Justice Policy,Expenses,Education,,Rethinking the racialization of crime: the significance of black firsts,2008,Ethnic and racial studies,Paul Knepper,1,San Jose State University,98,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Reduced inequalities, Peace, justice, and strong institutions",https://doi.org/10.1080/01419870701492018,25,12,Content Analysis ,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,217,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Policing / Justice Policy,Housing,Access to Healthy Options,,Introduction African Americans Police Brutality And The U S Criminal Justice System,2013,The Journal of African American history/The journal of African American history,Clarence Taylor,1,Baruch College,76,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions, Gender equality",https://doi.org/10.5323/jafriamerhist.98.2.0200,1,10,Case Study,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,222,Cluster_4
,"Community, Safety & Social Context",Policing / Justice Policy,Employment,Language,,What We Face,2012,Du Bois review,Nicole Arlette Hirsch,2,Harvard University,3,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1017/s1742058x12000185,48,8,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,230,Cluster_4
,"Community, Safety & Social Context",Policing / Justice Policy,Debt,Education,,Historic and Modern Social Movements for Reparations: The National Coalition of Blacks for Reparations in America (N’COBRA) And Its Antecedents,2010,Texas Wesleyan law review,Adjoa A. Aiyetoro,2,University of Arkansas at Little Rock,7,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.37419/twlr.v16.i4.8,1,33,Focus Group,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,231,Cluster_4
,"Community, Safety & Social Context",Policing / Justice Policy,Expenses,Food Security,,"The Death of Frank Wilson: Race, Crime, and Punishment in Post-Civil War Pennsylvania",2013,American nineteenth century history,James Campbell,1,University of Leicester,73,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1080/14664658.2013.830385,28,,Controlled Expirement,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,242,Cluster_4
,"Community, Safety & Social Context",Policing / Justice Policy,Playgrounds,Education,,Barack Obama and the (In)Significance of His Presidential Campaign,2008,Journal of African American studies,Roxanna Harlow,1,McDaniel College,6,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1007/s12111-008-9069-y,18,10,Focus Group,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,244,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Social Integration,Support,Vocational Training,,The Inner City and the Favela: Transnational Black Politics,2003,Race & class,João Costa Vargas,1,"University of California, Riverside",13,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1177/03063968030444002,,32,Survey ,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,221,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Social Integration,Support,Health Coverage,,"Borderland on the isthmus: race, culture, and the struggle for the Canal Zone",2014,Canadian journal of Latin American and Caribbean studies,Benjamín N. Narváez,1,University of Minnesota Morris,13,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1080/08263663.2014.1022029,,20,Longitudinal Study,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,223,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Social Integration,Expenses,Food Security,,The Underutilization of Health Services in the Black Community,2008,Journal of black studies,Daphne R. Chandler,1,University of Wisconsin–Madison,6,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1177/0021934708320723,28,43,Focus Group,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,224,Cluster_4
,"Community, Safety & Social Context",Social Integration,Playgrounds,Literacy,,Beyond the Hero Judge: Institutional Reform Litigation as Litigation,1999,Michigan law review,Margo Schlanger,3,University of Michigan–Ann Arbor,81,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.2307/1290240,,51,Interview,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,226,Cluster_4
,"Community, Safety & Social Context",Social Integration,Expenses,Vocational Training,,Dirty Work: Police and Community Relations and the Limits of Liberalism in Postwar Philadelphia,2017,Journal of urban history,Eric C. Schneider,3,Carnegie Mellon University,316,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1177/0096144217705497,,6,Interview,Small ,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,227,Cluster_4
,"Community, Safety & Social Context",Social Integration,Playgrounds,Literacy,,"Borderland on the isthmus: race, culture, and the struggle for the Canal Zone",2014,Canadian journal of Latin American and Caribbean studies,Benjamín N. Narváez,1,University of Minnesota Morris,13,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1080/08263663.2014.1022029,,21,Content Analysis ,Very Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,233,Cluster_4
,"Community, Safety & Social Context",Social Integration,Parks,Access to Healthy Options,,“We Charge Genocide”: Revisiting black radicals’ appeals to the world community1,2018,Radical Americas,David Helps,1,University of Toronto,2,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.14324/111.444.ra.2018.v3.1.009,1,19,Controlled Expirement,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,240,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Stress,Playgrounds,Literacy,,Selected Writings on Race and Difference,2021,Duke University Press eBooks,Stuart Hall,1,University of Montana,666,book,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1215/9781478021223,,79,Interview,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,207,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Stress,Support,Health Coverage,,Looking for Race in All the Wrong Places,2012,Law & society review,Laura E. Gómez,1,Universidad de Oviedo,130,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1111/j.1540-5893.2012.00486.x,69,57,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,211,Cluster_4
,"Community, Safety & Social Context",Stress,Playgrounds,Early Childhood,,In The Belly Of The Beast Black Policemen Combat Police Brutality In Chicago 1968 1983,2013,The Journal of African American history/The journal of African American history,Tera Eva Agyepong,1,American Bar Foundation,13,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.5323/jafriamerhist.98.2.0253,4,8,Case Study,Small ,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,236,Cluster_4
,"Community, Safety & Social Context",Stress,Expenses,Access to Healthy Options,,"Book Review: Michelle Alexander The New Jim Crow: Mass Incarceration in the Age of Colorblindness. New York: New Press, 2010",2011,Criminal justice policy review,Frank Butler,1,United States Army Institute of Surgical Research,29,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1177/0887403410382450,4,6,Longitudinal Study,Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,239,Cluster_4
,"Community, Safety & Social Context",Stress,Housing,Economic Stability ,,The Legal Alchemy of White Domination,2014,Humanity & society,Wendy Leo Moore,1,Binghamton University,33,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1177/0160597613519230,21,7,Case Study,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,241,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Support Systems,Playgrounds,Vocational Training,,Introduction,2020,American ethnologist,Shanti Parikh,2,Washington University in St. Louis,16,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1111/amet.12884,,15,Controlled Expirement,Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,202,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Support Systems,Income,Early Childhood,,Black Lives Matter and the Civil Rights Movement: A Comparative Analysis of Two Social Movements in the United States,2018,Journal of black studies,Dewey M. Clayton,1,University of Louisville,28,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1177/0021934718764099,16,108,Survey ,Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,203,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Support Systems,Income,Provider & Pharmacy Availability,,Through Black Eyes,2005,Violence against women,Shondrah Tarrezz Nash,1,Morehead State University,35,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1177/1077801205280272,27,98,Controlled Expirement,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,206,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Support Systems,Parks,Literacy,,"‘Whiteness,’ criminality, and the double standards of deviance/social control",2015,Contemporary justice review,Nancy A. Heitzeg,1,University of California System,17,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1080/10282580.2015.1025630,34,32,Longitudinal Study,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,210,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Support Systems,Parks,Food Security,,Black Protest / White Grievance: On the Problem of White Political Imaginations Not Shaped by Loss,2017,The South Atlantic quarterly,Juliet Hooker,1,Brown University,74,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.1215/00382876-3961450,19,40,Controlled Expirement,Very Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,218,Cluster_4
Civil Rights Movement and Black Studies,"Community, Safety & Social Context",Support Systems,Playgrounds,Health Coverage,,"The Condemnation of Blackness: Race, Crime, and the Making of Modern Urban America",2015,"The European legacy/The European legacy, toward new paradigms",Raymond A. Mohl,1,University of Alabama at Birmingham,163,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Sustainable cities and communities,https://doi.org/10.1080/10848770.2015.1046692,,24,Content Analysis ,Very Small,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,219,Cluster_4
,"Community, Safety & Social Context",Support Systems,Parks,Health Coverage,,"When the ""Jungle"" met the forest: Public work, civil defense, and prison camps in Postwar California",2009,The Journal of American history,Volker Janßen,1,California State University,166,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1093/jahist/96.3.702,7,21,Survey ,Small ,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,235,Cluster_4
,"Community, Safety & Social Context",Support Systems,Transportation,Provider & Pharmacy Availability,,Reply to Commentaries:Black Sexual PoliticsRevisited,2008,Studies in gender and sexuality,Patrícia Hill Collins,1,"University of Maryland, College Park",228,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1080/15240650701759292,3,18,Interview,Very Small,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,245,Cluster_4
,"Community, Safety & Social Context",Support Systems,Employment,Vocational Training,,"The Dangerous Individual('s) Mother: Biopower, Family, and the Production of Race",2007,Hypatia,Ellen K. Feder,1,American University,65,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1111/j.1527-2001.2007.tb00982.x,27,29,Secondary Data Analysis ,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,248,Cluster_4
,"Community, Safety & Social Context",Support Systems,Expenses,Health Coverage,,"From “Race” to Race Transcendence: “Race,” Writing, and Difference Twenty Years Later",2008,Publications of the Modern Language Association of America,Valerie Smith,1,Quinnipiac University,48,article,Civil Rights Movement and Black Studies,Sociology and Political Science,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1632/pmla.2008.123.5.1528,3,9,Longitudinal Study,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,249,Cluster_4
Labor Market Dynamics and Inequality,Economic Stability ,Debt,Education,Access to Healthy Options,Community Engagement,The Gender Gap in Earnings at Career Entry,1997,American sociological review,Margaret Mooney Marin,2,University of Minnesota System,41,article,Labor Market Dynamics and Inequality,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://www.jstor.org/stable/2657428?origin=crossref,34,178,Case Study,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,1,Cluster_0
Factors Affecting Transition to Employment for Individuals with Disabilities,Economic Stability ,Debt,Transportation,Social Integration,Policing / Justice Policy,"Stuck at the Bottom Rung: Occupational Characteristics of Workers with Disabilities
",2009,Journal of occupational rehabilitation,H. S. Kaye,1,"University of California, San Francisco",62,article,Factors Affecting Transition to Employment for Individuals with Disabilities,Safety Research,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1007/s10926-009-9175-2,13,104,Secondary Data Analysis ,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,2,Cluster_0
Agricultural Education and School Gardening Research,Economic Stability ,Debt,Language,Provider & Pharmacy Availability,,Longitudinal Analysis of Select Influences on Adolescents' Occupational Aspirations,1997,Journal of vocational behavior, Jay W. Rojewski,2, University of Georgia,127,article,Agricultural Education and School Gardening Research,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,Quality education,https://doi.org/10.1006/jvbe.1996.1561,,127,Secondary Data Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,19,Cluster_0
Web Accessibility and Disability Divide,Economic Stability ,Debt,Early Childhood,Exposure to Violence / Trauma,,Barriers to Employment: A Survey of Employed Persons who are Visually Impaired,1999,Journal of visual impairment & blindness, Adele Crudden,2,Mississippi State University,44,article,Web Accessibility and Disability Divide,Human Factors and Ergonomics,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1177/0145482x9909300602,6,105,Secondary Data Analysis ,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,20,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Debt,Transportation,Exposure to Violence / Trauma,Support Systems,The Role of Job-Related Rewards in Retirement Planning,2001,"The journals of gerontology. Series B, Psychological sciences and social sciences",Karl Kosloski,3, University of Nebraska at Omaha,58,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1093/geronb/56.3.p160,38,88,Survey ,Very Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,23,Cluster_0
